name,school,nces_id,district,category,posting_type,salary_link,city,address,zip,grades,school_type,student_count,school_type2,county,salary,fips
Therapist Ex Ed Speech Language Pool (2025-2026) - (25002659),,,Metro Nashville Public Schools,Special Education (General),District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,,Davidson,70137,47037
Teacher Language Spanish (2025-2026) - (25002522),John Trotwood Moore Middle,470318001346,Metro Nashville Public Schools,Foreign Language: Spanish,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,4425 Granny White Pike,37204,"['6', '7', '8']",Public,528.0,['Middle'],Davidson,70137,47037
Therapist Ex Ed Speech Language (2025-2026) - (25002958),,,Metro Nashville Public Schools,Special Education (General),District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,,Davidson,70137,47037
Spec Instructional (Pool 2025-26 SY) - (25001627),,,Metro Nashville Public Schools,Reading/Literacy,District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,,Davidson,70137,47037
Teacher Health Physical Education Secondary (2025-2026) - (25003405),,,Metro Nashville Public Schools,Health & Physical Education,District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,,Davidson,70137,47037
Teacher English Learner Secondary - (25003223),,,Metro Nashville Public Schools,English as a Second Language (ESL),District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,,Davidson,70137,47037
Teacher Grade 1 (2025-2026) - (25001988),Bellshire Elementary,470318001262,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1128 Bell Grimes Ln,37207,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,402.0,['Elementary'],Davidson,70137,47037
Teacher Grade 4 (2025-2026) - (25002114),Bellshire Elementary,470318001262,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1128 Bell Grimes Ln,37207,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,402.0,['Elementary'],Davidson,70137,47037
Possible Growth ESL Teacher (2025-2026 School Year),,,Rutherford County,English as a Second Language (ESL),District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
Possible Growth Library/Media Specialist (2025-2026 School Year),,,Rutherford County,Library & Media,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
5th Grade Teacher (2025-2026 School Year),Smyrna Primary,470369001530,Rutherford County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Smyrna,200 Walnut St,37167,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,581.0,['Elementary'],Rutherford,63703,47149
4th Grade Teacher (2025-2026 School Year),Smyrna Primary,470369001530,Rutherford County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Smyrna,200 Walnut St,37167,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,581.0,['Elementary'],Rutherford,63703,47149
Possible Growth Elementary Teacher (2025-2026 School Year),,,Rutherford County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
SpEd. BIC Teacher,,,Rutherford County,Special Education (Comprehensive),District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
Possible Growth 1st Grade Teacher (2025-2026 School Year),,,Rutherford County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
Classroom Teacher- Project Graduation,,,Memphis-Shelby County Schools,Special Education (Comprehensive),District,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,,,,,,,,Shelby,62654,47157
Summer Program - Hope Academy,,,Memphis-Shelby County Schools,Other,District,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,,,,,,,,Shelby,62654,47157
Teacher Ex Ed Itinerant - (25003396),,,Metro Nashville Public Schools,Special Education (General),District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,,Davidson,70137,47037
Teacher Math (2025-2026) - (25002589),,,Metro Nashville Public Schools,Mathematics,District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,,Davidson,70137,47037
"Grade 8 Other Teacher - Full-time, Interim",Ocoee Middle School,470033000089,Bradley County,Other,School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Cleveland,2250 N Ocoee St,37311,"['6', '7', '8']",Public,997.0,['Middle'],Bradley,60879,47011
Grade 6 English/Language Arts Teacher,Ocoee Middle School,470033000089,Bradley County,Language Arts,School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Cleveland,2250 N Ocoee St,37311,"['6', '7', '8']",Public,997.0,['Middle'],Bradley,60879,47011
Special Education Teacher (Graduating Student),,,Bradley County,Special Education (General),District,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,,,,,,,,Bradley,60879,47011
Middle School Classroom Teacher (Graduating Students),,,Bradley County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,,,,,,,,Bradley,60879,47011
Special Education CDC Teacher,Waterville Community Elementary School,470033000106,Bradley County,Special Education (Comprehensive),School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Cleveland,4081 Dalton Pike,37323,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,660.0,['Elementary'],Bradley,60879,47011
Speech Pathologist - Special Education Teacher,,,Bradley County,Special Education (General),District,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,,,,,,,,Bradley,60879,47011
After-School Program Instructional Staff - Part-Time - Interim,,,Bradley County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,,,,,,,,Bradley,60879,47011
Elementary Classroom Teacher (Graduating Students),,,Bradley County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,,,,,,,,Bradley,60879,47011
Teacher - K-5  (2025-2026)- Certified Employee Application (Teacher) - Liberty School,,,Bedford County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,,,,,,,,Bedford,59579,47003
Special Education - Vision Teacher - (PreK-12th Grade) - Certified Employee Application Teacher - Systemwide,,,Bedford County,Special Education (General),District,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,,,,,,,,Bedford,59579,47003
Teacher - K-5th P.E. (2025/2026) - Certified Employee Application (Teacher) - Cartwright Elementary School,,,Bedford County,Health & Physical Education,District,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,,,,,,,,Bedford,59579,47003
Teacher - Math/Science (3rd Grade) (Interim until 5/29/2025) - Certified Employee Application (Teacher) - Southside Elementary,South Side Elementary,470018000044,Bedford County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,Shelbyville,903 Cannon Blvd,37160,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,387.0,['Elementary'],Bedford,59579,47003
Teacher: For future use for the 2025 2026 school year,,,Bledsoe County,Other,District,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,,,,,,,,Bledsoe,53599,47007
TN ALL Corp Tutors (Middle School Math &amp; Third Grade ELA),,,Bledsoe County,Language Arts,District,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,,,,,,,,Bledsoe,53599,47007
Elementary Teacher,,,Bledsoe County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,,,,,,,,Bledsoe,53599,47007
Pre-K Teacher,,,Bledsoe County,Early Childhood,District,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,,,,,,,,Bledsoe,53599,47007
County-Wide ELL Teacher,,,Macon County,English as a Second Language (ESL),District,https://drive.google.com/file/d/1od0egZ7trlVJJQgwjxn46WySkNW9GcQO/view,,,,,,,,Macon,52172,47111
County-Wide ELL Teacher for the 25-26 SY,,,Macon County,English as a Second Language (ESL),District,https://drive.google.com/file/d/1od0egZ7trlVJJQgwjxn46WySkNW9GcQO/view,,,,,,,,Macon,52172,47111
Lafayette Elementary School 4th Grade Teacher for the 25-26 SY,Lafayette Elementary School,470255002024,Macon County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1od0egZ7trlVJJQgwjxn46WySkNW9GcQO/view,Lafayette,401 Meador Dr,37083,"['4', '5']",Public,422.0,['Elementary'],Macon,52172,47111
General Application-Certified,,,Macon County,Other,District,https://drive.google.com/file/d/1od0egZ7trlVJJQgwjxn46WySkNW9GcQO/view,,,,,,,,Macon,52172,47111
TEACHER REG - GRADE 8 SCIENCE TEACHER,East Middle School,470420001712,Tullahoma,Science,School,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,Tullahoma,908 Country Club Dr,37388,"['6', '7', '8']",Public,376.0,['Middle'],Coffee,60694,47031
TEACHER REG - GRADE 7 ELA TEACHER,East Middle School,470420001712,Tullahoma,Language Arts,School,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,Tullahoma,908 Country Club Dr,37388,"['6', '7', '8']",Public,376.0,['Middle'],Coffee,60694,47031
TEACHER REG - GRADE 7 SCIENCE TEACHER,East Middle School,470420001712,Tullahoma,Science,School,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,Tullahoma,908 Country Club Dr,37388,"['6', '7', '8']",Public,376.0,['Middle'],Coffee,60694,47031
TEACHER REG - GRADE 8 SOCIAL STUDIES TEACHER,,,Tullahoma,Social Studies,District,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,,,,,,,,Coffee,60694,47031
Interim PE Teacher,Freedom Intermediate,470126000414,Franklin Special School District,Health & Physical Education,School,https://drive.google.com/file/d/1kZv5LZzPRpE3NIofQqelLgLG1oi9_yuV/view,Franklin,840 Glass Ln,37064,"['5', '6']",Public,521.0,[],Williamson,65383,47187
5th or 6th Grade School Social Studies,Freedom Intermediate,470126000414,Franklin Special School District,Social Studies,School,https://drive.google.com/file/d/1kZv5LZzPRpE3NIofQqelLgLG1oi9_yuV/view,Franklin,840 Glass Ln,37064,"['5', '6']",Public,521.0,[],Williamson,65383,47187
5th or 6th Grade Math Teacher,Freedom Intermediate,470126000414,Franklin Special School District,Mathematics,School,https://drive.google.com/file/d/1kZv5LZzPRpE3NIofQqelLgLG1oi9_yuV/view,Franklin,840 Glass Ln,37064,"['5', '6']",Public,521.0,[],Williamson,65383,47187
TEACHER - SPED,Milan Elementary,470297000464,Milan,Special Education (General),School,https://drive.google.com/file/d/1ts1vHFd82qgt8RNmJb5ffxyYGtimh35w/view,Milan,1100 Middle Rd,38358,"['1', '2', '3', '4', 'KG', 'PK']",Public,870.0,['Elementary'],Gibson,54193,47053
TEACHER - ELEMENTARY SCHOOL ,,,Milan,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1ts1vHFd82qgt8RNmJb5ffxyYGtimh35w/view,,,,,,,,Gibson,54193,47053
TEACHER - ART,,,Milan,Visual Arts,District,https://drive.google.com/file/d/1ts1vHFd82qgt8RNmJb5ffxyYGtimh35w/view,,,,,,,,Gibson,54193,47053
Vision Teacher District Wide,,,Murfreesboro,Special Education (Comprehensive),District,https://drive.google.com/file/d/1rSH3k8Llp1DJmkgUSZAsLfaNK1W2RHJD/view,,,,,,,,Rutherford,67432,47149
Speech Language Pathologist (25/26),,,Murfreesboro,Special Education (General),District,https://drive.google.com/file/d/1rSH3k8Llp1DJmkgUSZAsLfaNK1W2RHJD/view,,,,,,,,Rutherford,67432,47149
Special Education Teacher- Resource at Hobgood (25-26),Hobgood Elementary,470315001250,Murfreesboro,Special Education (General),School,https://drive.google.com/file/d/1rSH3k8Llp1DJmkgUSZAsLfaNK1W2RHJD/view,Murfreesboro,307 Baird Ln,37130,"['1', '2', '3', '4', '5', '6', 'KG']",Public,678.0,['Elementary'],Rutherford,67432,47149
TEACHER VIRTUAL - GRADE 9-12 MATH TEACHER,Tullahoma Virtual Academy,470420002647,Tullahoma,Mathematics,School,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,Tullahoma,301 West Decherd St,37388,"['10', '11', '12', '8', '9']",Public,43.0,['High'],Coffee,60694,47031
TEACHER SPED - SPECIAL EDUCATION TEACHER,,,Tullahoma,Special Education (General),District,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,,,,,,,,Coffee,60694,47031
7-12 Math Teacher (posted until filled),,,Johnson County,Mathematics,District,https://drive.google.com/file/d/1O49KdBvJMWJL6kl8RXGZaWW-rt7WpDZh/view,,,,,,,,Johnson,65912,47091
Special Education Teacher for 2025-2026 School Year,,,Johnson County,Special Education (General),District,https://drive.google.com/file/d/1O49KdBvJMWJL6kl8RXGZaWW-rt7WpDZh/view,,,,,,,,Johnson,65912,47091
CERT- MIDDLE SCHOOL TEACHER- 6TH/7TH GRADE SCIENCE  2025-2026 SY,,,Sumner County,Science,District,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,,,,,,,,Sumner,58827,47165
CERT- SPECIAL EDUCATION CONSULTING TEACHER FOR CDC 2025-2026 SY,,,Sumner County,Special Education (Comprehensive),District,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,,,,,,,,Sumner,58827,47165
CTE Teacher (Electrical),Daniel Boone High School,470438001756,Washington County,Career and Technical Education,School,https://drive.google.com/file/d/1RGzyaL3Rc2JuObVIsJIxUrna268dRDMB/view,Gray,1440 Suncrest Dr,37615,"['10', '11', '12', '9']",Public,1211.0,['High'],Washington,59366,47179
Special Education Teacher - Vision,,,Washington County,Special Education (Comprehensive),District,https://drive.google.com/file/d/1RGzyaL3Rc2JuObVIsJIxUrna268dRDMB/view,,,,,,,,Washington,59366,47179
TEACHER - 5th-8th grade,,,Milan,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1ts1vHFd82qgt8RNmJb5ffxyYGtimh35w/view,,,,,,,,Gibson,54193,47053
Teacher Grade 7 Math (2025-2026) - (25002545),John F. Kennedy Middle,470318002149,Metro Nashville Public Schools,Mathematics,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,2087 Hobson Pike,37013,"['5', '6', '7', '8']",Public,827.0,['Middle'],Davidson,70137,47037
Teacher Arts Drama (2025-2026) - (25003205),John F. Kennedy Middle,470318002149,Metro Nashville Public Schools,Theater,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,2087 Hobson Pike,37013,"['5', '6', '7', '8']",Public,827.0,['Middle'],Davidson,70137,47037
Specialist Instructional (2025-2026) - (25001950),John F. Kennedy Middle,470318002149,Metro Nashville Public Schools,Reading/Literacy,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,2087 Hobson Pike,37013,"['5', '6', '7', '8']",Public,827.0,['Middle'],Davidson,70137,47037
Teacher Grade 2 - SY 2025-26 - (25001970),Una Elementary,470318001376,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,2018 Murfreesboro Rd,37214,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,749.0,['Elementary'],Davidson,70137,47037
Teacher Grade 1 (2025-2026) - (25002673),Una Elementary,470318001376,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,2018 Murfreesboro Rd,37214,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,749.0,['Elementary'],Davidson,70137,47037
Teacher Ex Ed Interventionist - SY 2025-26 - (25002034),Thomas A. Edison Elementary,470318002053,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,6130 Mt. View Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,575.0,['Elementary'],Davidson,70137,47037
Teacher Kindergarten - SY 2025-26 - (25001984),Thomas A. Edison Elementary,470318002053,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,6130 Mt. View Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,575.0,['Elementary'],Davidson,70137,47037
Teacher Grade 7 English Language Arts (2025-2026) - (25003403),Jere Baxter Middle,470318001323,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,350 Hart Ln,37207,"['6', '7', '8']",Public,440.0,['Middle'],Davidson,70137,47037
Teacher Grade 6 Math (2025-2026) - (25002173),Jere Baxter Middle,470318001323,Metro Nashville Public Schools,Mathematics,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,350 Hart Ln,37207,"['6', '7', '8']",Public,440.0,['Middle'],Davidson,70137,47037
Teacher Grade 8 English Language Arts (2025-2026) - (25002183),Jere Baxter Middle,470318001323,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,350 Hart Ln,37207,"['6', '7', '8']",Public,440.0,['Middle'],Davidson,70137,47037
Teacher English Learner Secondary (2025-2026)  - (25002138),Antioch Middle,470318001052,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,5050 Blue Hole Rd,37013,"['6', '7', '8']",Public,637.0,['Middle'],Davidson,70137,47037
Possible Growth Middle School Math Teacher (2025-2026 School Year),,,Rutherford County,Mathematics,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
Possible Growth Middle School ELA Teacher (2025-2026 School Year),,,Rutherford County,Language Arts,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
Possible Growth Middle School Science Teacher (2025-2026 School Year),,,Rutherford County,Science,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
Teacher Language Spanish (2025-2026) - (25002319),Antioch High School,470318001257,Metro Nashville Public Schools,Foreign Language: Spanish,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,1900 Hobson Pike,37013,"['10', '11', '12', '9']",Public,2083.0,['High'],Davidson,70137,47037
Teacher Grade 3 (2025-2026) - (25003037),Neely's Bend Elementary,470318001351,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Madison,1300 Neely's Bend Rd,37115,"['1', '2', '3', '4', '5', '6', 'KG', 'PK']",Public,368.0,['Elementary'],Davidson,70137,47037
Teacher Grade 4 (2025-2026) - (25003381),Neely's Bend Elementary,470318001351,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Madison,1300 Neely's Bend Rd,37115,"['1', '2', '3', '4', '5', '6', 'KG', 'PK']",Public,368.0,['Elementary'],Davidson,70137,47037
Teacher English Learner ES (2025-2026) - (25002739),A. Z. Kelley Elementary,470318002116,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,5834 Pettus Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,709.0,['Elementary'],Davidson,70137,47037
Teacher Grade 4 - SY 2025-26 - (25001935),A. Z. Kelley Elementary,470318002116,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,5834 Pettus Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,709.0,['Elementary'],Davidson,70137,47037
Teacher Grade 7 English Language Arts (2025-2026) - (25003014),McMurray Middle,470318001344,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,520 McMurray Dr,37211,"['5', '6', '7', '8']",Public,711.0,['Middle'],Davidson,70137,47037
Teacher English Learner Secondary (2025-2026) - (25002251),Johnson Alternative Learning Center,470318002361,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1200 2nd Ave South,37210,"['10', '11', '12', '5', '6', '7', '8', '9']",Public,141.0,"['Middle', 'High']",Davidson,70137,47037
Teacher Computer (2025-2026) - (25002196),Johnson Alternative Learning Center,470318002361,Metro Nashville Public Schools,Computer Science,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1200 2nd Ave South,37210,"['10', '11', '12', '5', '6', '7', '8', '9']",Public,141.0,"['Middle', 'High']",Davidson,70137,47037
Physical Education Teacher &amp; Head Girls' Basketball Coach (2025-2026 School Year),Lavergne High School,470369001987,Rutherford County,Health & Physical Education,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Lavergne,250 Wolverine Trail,37086,"['10', '11', '12', '9']",Public,2100.0,['High'],Rutherford,63703,47149
High School Social Studies Teacher (2025-2026 School Year),Lavergne High School,470369001987,Rutherford County,Social Studies,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Lavergne,250 Wolverine Trail,37086,"['10', '11', '12', '9']",Public,2100.0,['High'],Rutherford,63703,47149
Chemistry Teacher (2025-2026 School Year),Lavergne High School,470369001987,Rutherford County,Science,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Lavergne,250 Wolverine Trail,37086,"['10', '11', '12', '9']",Public,2100.0,['High'],Rutherford,63703,47149
SpEd. Teacher (2025-2026 School Year),Lavergne High School,470369001987,Rutherford County,Special Education (General),School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Lavergne,250 Wolverine Trail,37086,"['10', '11', '12', '9']",Public,2100.0,['High'],Rutherford,63703,47149
Teacher English (2025-2026) - (25003425),Glencliff High School,470318001299,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,160 Antioch Pike,37211,"['10', '11', '12', '9']",Public,1177.0,['High'],Davidson,70137,47037
Teacher Music Band (2025-2026) - (25003448),May Werthan Shayne Elementary School,470318002059,Metro Nashville Public Schools,Music: Instrumental/general,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,6217 Nolensville Rd,37211,"['1', '2', '3', '4', 'KG', 'PK']",Public,735.0,['Elementary'],Davidson,70137,47037
Teacher English Learner ES (2025-2026) - (25003149),May Werthan Shayne Elementary School,470318002059,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,6217 Nolensville Rd,37211,"['1', '2', '3', '4', 'KG', 'PK']",Public,735.0,['Elementary'],Davidson,70137,47037
Teacher Grade 2 (2025-2026) - (25003449),May Werthan Shayne Elementary School,470318002059,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,6217 Nolensville Rd,37211,"['1', '2', '3', '4', 'KG', 'PK']",Public,735.0,['Elementary'],Davidson,70137,47037
Teacher Grade 7 Math (2025-2026) - (25003211),Thurgood Marshall Middle,470318002121,Metro Nashville Public Schools,Mathematics,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,5820 Pettus Rd,37013,"['5', '6', '7', '8']",Public,753.0,['Middle'],Davidson,70137,47037
Teacher Ex Ed Comprehensive (2025-2026) - (25003012),Mt. View Elementary,470318001062,Metro Nashville Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,3820 Murfreesboro Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,718.0,['Elementary'],Davidson,70137,47037
Teacher English Learner ES - interim through end of SY  - (25001464),Mt. View Elementary,470318001062,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,3820 Murfreesboro Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,718.0,['Elementary'],Davidson,70137,47037
Teacher Grade 4 (2025-2026) - (25001769),Chadwell Elementary,470318001273,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Madison,321 Port Dr,37115,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,401.0,['Elementary'],Davidson,70137,47037
Teacher Grade 5 (2025-2026) - (25002147),Chadwell Elementary,470318001273,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Madison,321 Port Dr,37115,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,401.0,['Elementary'],Davidson,70137,47037
Teacher Grade 5 (2025-2026) - (25002676),Glenview Elementary,470318001303,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1020 Patricia Dr,37217,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,608.0,['Elementary'],Davidson,70137,47037
