name,school,nces_id,district,category,posting_type,salary_link,city,address,zip,grades,school_type,student_count,school_type2,county,salary,fips
K-8 PE Teacher (2025-2026-Pending Budget Approval),Southside Elementary,470455001823,Wilson County,Health & Physical Education,School,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,Lebanon,1224 Murfreesboro Rd,37087,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,691.0,"['Elementary', 'Middle']",Wilson,57304,47189
Teacher Kindergarten (2025-2026) - (25002176),Andrew Jackson Elementary,470318001256,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Old Hickory,110 Shute Ln,37138,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,480.0,['Elementary'],Davidson,70137,47037
Teacher English (2025-2026) - (25003167),Hume - Fogg High,470318001320,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,700 Broadway,37203,"['10', '11', '12', '9']",Public,898.0,['High'],Davidson,70137,47037
Teacher Math (2025-2026) - (25002859),Transitions at Bass,470318002297,Metro Nashville Public Schools,Mathematics,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,5200 Delaware Ave,37209,"['10', '11', '12', '9']",Public,19.0,['High'],Davidson,70137,47037
Possible Growth French Teacher (2025-2026 School Year),,,Rutherford County,Foreign Language: French,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
Possible Growth CTE- Agriculture Teacher (2025-2026 School Year),,,Rutherford County,Career and Technical Education,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
Possible Growth Physical Education Teacher (2025-2026 School Year),,,Rutherford County,Health & Physical Education,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,,Rutherford,63703,47149
EARLY CHILDHOOD SPECIAL EDUCATION TEACHER (PENDING BUDGET APPROVAL),,,Williamson County,Early Childhood,District,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,,,,,,,,Williamson,58686,47187
KINDERGARTEN TEACHER (PENDING BUDGET APPROVAL),Longview Elementary School,470453002139,Williamson County,Early Childhood,School,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,Spring Hill,2929 Commonwealth Dr,37174,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,969.0,['Elementary'],Williamson,58686,47187
Special Education- Inclusion Teacher (2025-2026),Carroll Oakland Elementary,470455001816,Wilson County,Special Education (General),School,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,Lebanon,4664 Hunters Point Pike,37087,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,744.0,"['Elementary', 'Middle']",Wilson,57304,47189
