name,school,nces_id,district,category,posting_type,salary_link,city,address,zip,grades,school_type,student_count,school_type2
TEACHER REG - GRADE 8 SOCIAL STUDIES TEACHER,,,Tullahoma,Social Studies,District,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,,,,,,,
Interim PE Teacher,Freedom Intermediate,470126000414,Franklin Special School District,Health & Physical Education,School,https://drive.google.com/file/d/1kZv5LZzPRpE3NIofQqelLgLG1oi9_yuV/view,Franklin,840 Glass Ln,37064,"['5', '6']",Public,521.0,[]
5th or 6th Grade School Social Studies,Freedom Intermediate,470126000414,Franklin Special School District,Social Studies,School,https://drive.google.com/file/d/1kZv5LZzPRpE3NIofQqelLgLG1oi9_yuV/view,Franklin,840 Glass Ln,37064,"['5', '6']",Public,521.0,[]
5th or 6th Grade Math Teacher,Freedom Intermediate,470126000414,Franklin Special School District,Mathematics,School,https://drive.google.com/file/d/1kZv5LZzPRpE3NIofQqelLgLG1oi9_yuV/view,Franklin,840 Glass Ln,37064,"['5', '6']",Public,521.0,[]
TEACHER - SPED,Milan Elementary,470297000464,Milan,Special Education (General),School,https://drive.google.com/file/d/1ts1vHFd82qgt8RNmJb5ffxyYGtimh35w/view,Milan,1100 Middle Rd,38358,"['1', '2', '3', '4', 'KG', 'PK']",Public,870.0,['Elementary']
TEACHER - ELEMENTARY SCHOOL ,,,Milan,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1ts1vHFd82qgt8RNmJb5ffxyYGtimh35w/view,,,,,,,
TEACHER - ART,,,Milan,Visual Arts,District,https://drive.google.com/file/d/1ts1vHFd82qgt8RNmJb5ffxyYGtimh35w/view,,,,,,,
Vision Teacher District Wide,,,Murfreesboro,Special Education (Comprehensive),District,https://drive.google.com/file/d/1rSH3k8Llp1DJmkgUSZAsLfaNK1W2RHJD/view,,,,,,,
Speech Language Pathologist (25/26),,,Murfreesboro,Special Education (General),District,https://drive.google.com/file/d/1rSH3k8Llp1DJmkgUSZAsLfaNK1W2RHJD/view,,,,,,,
Special Education Teacher- Resource at Hobgood (25-26),Hobgood Elementary,470315001250,Murfreesboro,Special Education (General),School,https://drive.google.com/file/d/1rSH3k8Llp1DJmkgUSZAsLfaNK1W2RHJD/view,Murfreesboro,307 Baird Ln,37130,"['1', '2', '3', '4', '5', '6', 'KG']",Public,678.0,['Elementary']
TEACHER VIRTUAL - GRADE 9-12 MATH TEACHER,Tullahoma Virtual Academy,470420002647,Tullahoma,Mathematics,School,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,Tullahoma,301 West Decherd St,37388,"['10', '11', '12', '8', '9']",Public,43.0,['High']
TEACHER SPED - SPECIAL EDUCATION TEACHER,,,Tullahoma,Special Education (General),District,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,,,,,,,
7-12 Math Teacher (posted until filled),,,Johnson County,Mathematics,District,https://drive.google.com/file/d/1O49KdBvJMWJL6kl8RXGZaWW-rt7WpDZh/view,,,,,,,
Special Education Teacher for 2025-2026 School Year,,,Johnson County,Special Education (General),District,https://drive.google.com/file/d/1O49KdBvJMWJL6kl8RXGZaWW-rt7WpDZh/view,,,,,,,
CERT- MIDDLE SCHOOL TEACHER- 6TH/7TH GRADE SCIENCE  2025-2026 SY,,,Sumner County,Science,District,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,,,,,,,
CERT- SPECIAL EDUCATION CONSULTING TEACHER FOR CDC 2025-2026 SY,,,Sumner County,Special Education (Comprehensive),District,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,,,,,,,
CTE Teacher (Electrical),Daniel Boone High School,470438001756,Washington County,Career and Technical Education,School,https://drive.google.com/file/d/1RGzyaL3Rc2JuObVIsJIxUrna268dRDMB/view,Gray,1440 Suncrest Dr,37615,"['10', '11', '12', '9']",Public,1211.0,['High']
Special Education Teacher - Vision,,,Washington County,Special Education (Comprehensive),District,https://drive.google.com/file/d/1RGzyaL3Rc2JuObVIsJIxUrna268dRDMB/view,,,,,,,
TEACHER - 5th-8th grade,,,Milan,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1ts1vHFd82qgt8RNmJb5ffxyYGtimh35w/view,,,,,,,
Teacher Grade 7 Math (2025-2026) - (25002545),John F. Kennedy Middle,470318002149,Metro Nashville Public Schools,Mathematics,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,2087 Hobson Pike,37013,"['5', '6', '7', '8']",Public,827.0,['Middle']
Teacher Arts Drama (2025-2026) - (25003205),John F. Kennedy Middle,470318002149,Metro Nashville Public Schools,Theater,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,2087 Hobson Pike,37013,"['5', '6', '7', '8']",Public,827.0,['Middle']
Specialist Instructional (2025-2026) - (25001950),John F. Kennedy Middle,470318002149,Metro Nashville Public Schools,Reading/Literacy,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,2087 Hobson Pike,37013,"['5', '6', '7', '8']",Public,827.0,['Middle']
Teacher Grade 2 - SY 2025-26 - (25001970),Una Elementary,470318001376,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,2018 Murfreesboro Rd,37214,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,749.0,['Elementary']
Teacher Grade 1 (2025-2026) - (25002673),Una Elementary,470318001376,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,2018 Murfreesboro Rd,37214,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,749.0,['Elementary']
Teacher Ex Ed Interventionist - SY 2025-26 - (25002034),Thomas A. Edison Elementary,470318002053,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,6130 Mt. View Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,575.0,['Elementary']
Teacher Kindergarten - SY 2025-26 - (25001984),Thomas A. Edison Elementary,470318002053,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,6130 Mt. View Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,575.0,['Elementary']
Teacher Grade 7 English Language Arts (2025-2026) - (25003403),Jere Baxter Middle,470318001323,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,350 Hart Ln,37207,"['6', '7', '8']",Public,440.0,['Middle']
Teacher Grade 6 Math (2025-2026) - (25002173),Jere Baxter Middle,470318001323,Metro Nashville Public Schools,Mathematics,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,350 Hart Ln,37207,"['6', '7', '8']",Public,440.0,['Middle']
Teacher Grade 8 English Language Arts (2025-2026) - (25002183),Jere Baxter Middle,470318001323,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,350 Hart Ln,37207,"['6', '7', '8']",Public,440.0,['Middle']
Teacher English Learner Secondary (2025-2026)  - (25002138),Antioch Middle,470318001052,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,5050 Blue Hole Rd,37013,"['6', '7', '8']",Public,637.0,['Middle']
Possible Growth Middle School Math Teacher (2025-2026 School Year),,,Rutherford County,Mathematics,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
Possible Growth Middle School ELA Teacher (2025-2026 School Year),,,Rutherford County,Language Arts,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
Possible Growth Middle School Science Teacher (2025-2026 School Year),,,Rutherford County,Science,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
Teacher Language Spanish (2025-2026) - (25002319),Antioch High School,470318001257,Metro Nashville Public Schools,Foreign Language: Spanish,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,1900 Hobson Pike,37013,"['10', '11', '12', '9']",Public,2083.0,['High']
Teacher Grade 3 (2025-2026) - (25003037),Neely's Bend Elementary,470318001351,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Madison,1300 Neely's Bend Rd,37115,"['1', '2', '3', '4', '5', '6', 'KG', 'PK']",Public,368.0,['Elementary']
Teacher Grade 4 (2025-2026) - (25003381),Neely's Bend Elementary,470318001351,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Madison,1300 Neely's Bend Rd,37115,"['1', '2', '3', '4', '5', '6', 'KG', 'PK']",Public,368.0,['Elementary']
Teacher English Learner ES (2025-2026) - (25002739),A. Z. Kelley Elementary,470318002116,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,5834 Pettus Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,709.0,['Elementary']
Teacher Grade 4 - SY 2025-26 - (25001935),A. Z. Kelley Elementary,470318002116,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,5834 Pettus Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,709.0,['Elementary']
Teacher Grade 7 English Language Arts (2025-2026) - (25003014),McMurray Middle,470318001344,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,520 McMurray Dr,37211,"['5', '6', '7', '8']",Public,711.0,['Middle']
Teacher English Learner Secondary (2025-2026) - (25002251),Johnson Alternative Learning Center,470318002361,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1200 2nd Ave South,37210,"['10', '11', '12', '5', '6', '7', '8', '9']",Public,141.0,"['Middle', 'High']"
Teacher Computer (2025-2026) - (25002196),Johnson Alternative Learning Center,470318002361,Metro Nashville Public Schools,Computer Science,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1200 2nd Ave South,37210,"['10', '11', '12', '5', '6', '7', '8', '9']",Public,141.0,"['Middle', 'High']"
Physical Education Teacher &amp; Head Girls' Basketball Coach (2025-2026 School Year),Lavergne High School,470369001987,Rutherford County,Health & Physical Education,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Lavergne,250 Wolverine Trail,37086,"['10', '11', '12', '9']",Public,2100.0,['High']
High School Social Studies Teacher (2025-2026 School Year),Lavergne High School,470369001987,Rutherford County,Social Studies,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Lavergne,250 Wolverine Trail,37086,"['10', '11', '12', '9']",Public,2100.0,['High']
Chemistry Teacher (2025-2026 School Year),Lavergne High School,470369001987,Rutherford County,Science,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Lavergne,250 Wolverine Trail,37086,"['10', '11', '12', '9']",Public,2100.0,['High']
SpEd. Teacher (2025-2026 School Year),Lavergne High School,470369001987,Rutherford County,Special Education (General),School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Lavergne,250 Wolverine Trail,37086,"['10', '11', '12', '9']",Public,2100.0,['High']
Teacher English (2025-2026) - (25003425),Glencliff High School,470318001299,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,160 Antioch Pike,37211,"['10', '11', '12', '9']",Public,1177.0,['High']
Teacher Music Band (2025-2026) - (25003448),May Werthan Shayne Elementary School,470318002059,Metro Nashville Public Schools,Music: Instrumental/general,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,6217 Nolensville Rd,37211,"['1', '2', '3', '4', 'KG', 'PK']",Public,735.0,['Elementary']
Teacher English Learner ES (2025-2026) - (25003149),May Werthan Shayne Elementary School,470318002059,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,6217 Nolensville Rd,37211,"['1', '2', '3', '4', 'KG', 'PK']",Public,735.0,['Elementary']
Teacher Grade 2 (2025-2026) - (25003449),May Werthan Shayne Elementary School,470318002059,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,6217 Nolensville Rd,37211,"['1', '2', '3', '4', 'KG', 'PK']",Public,735.0,['Elementary']
Teacher Grade 7 Math (2025-2026) - (25003211),Thurgood Marshall Middle,470318002121,Metro Nashville Public Schools,Mathematics,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,5820 Pettus Rd,37013,"['5', '6', '7', '8']",Public,753.0,['Middle']
Teacher Ex Ed Comprehensive (2025-2026) - (25003012),Mt. View Elementary,470318001062,Metro Nashville Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,3820 Murfreesboro Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,718.0,['Elementary']
Teacher English Learner ES - interim through end of SY  - (25001464),Mt. View Elementary,470318001062,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,3820 Murfreesboro Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,718.0,['Elementary']
Teacher Grade 4 (2025-2026) - (25001769),Chadwell Elementary,470318001273,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Madison,321 Port Dr,37115,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,401.0,['Elementary']
Teacher Grade 5 (2025-2026) - (25002147),Chadwell Elementary,470318001273,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Madison,321 Port Dr,37115,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,401.0,['Elementary']
Teacher Grade 5 (2025-2026) - (25002676),Glenview Elementary,470318001303,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1020 Patricia Dr,37217,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,608.0,['Elementary']
Teacher English Learner ES - SY 2025-26 - (25001774),Glenview Elementary,470318001303,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1020 Patricia Dr,37217,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,608.0,['Elementary']
Teacher Exceptional Education Interventionist (2025-2026) (2500 Incentive bonus) - (25002925),John Early Middle,470318001701,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1000 Cass St,37208,"['6', '7', '8']",Public,174.0,['Middle']
Teacher Music Band (2025-2026) - (25002478),James Lawson High School,470318010473,Metro Nashville Public Schools,Music: Instrumental/general,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,8001 Highway 70S,37221,"['10', '11', '12', '9']",Public,,['High']
Teacher Grade 8 Science (2025-2026) - (25002578),Goodlettsville Middle,470318001305,Metro Nashville Public Schools,Science,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Goodlettsville,300 South Main St,37072,"['6', '7', '8']",Public,421.0,['Middle']
Teacher Grade 7 English Language Arts (2025-2026) - (25002463),Goodlettsville Middle,470318001305,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Goodlettsville,300 South Main St,37072,"['6', '7', '8']",Public,421.0,['Middle']
Teacher Exceptional Education Interventionist (2025-2026) - (25002018),Margaret Allen Middle,470318001338,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,500 Spence Ln,37210,"['6', '7', '8']",Public,265.0,['Middle']
