school_x,nces_id,city,address,zip,district,grades,school_type,student_count,salary_link,school_type2
Bon De Croft Elementary,470450001792,Sparta,8095 Crossville Hwy,38583,White County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,198.0,https://drive.google.com/file/d/1x7Uzhimaj7i8jscBdzJxgvXUv6MhKgpq/view,['Elementary']
Cassville Elementary,470450001793,Sparta,261 Will Thompson Rd,38583,White County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,219.0,https://drive.google.com/file/d/1x7Uzhimaj7i8jscBdzJxgvXUv6MhKgpq/view,['Elementary']
Doyle Elementary,470450001795,Doyle,174 West Gooseneck Rd,38559,White County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,295.0,https://drive.google.com/file/d/1x7Uzhimaj7i8jscBdzJxgvXUv6MhKgpq/view,['Elementary']
Findlay Elementary,470450001797,Sparta,560 Hale St,38583,White County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,418.0,https://drive.google.com/file/d/1x7Uzhimaj7i8jscBdzJxgvXUv6MhKgpq/view,['Elementary']
White County High School,470450001798,Sparta,,,,,,,,
White Co Middle School,470450001800,Sparta,,,,,,,,
Woodland Park Elementary,470450001980,Sparta,88 Panther Dr,38583,White County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,497.0,https://drive.google.com/file/d/1x7Uzhimaj7i8jscBdzJxgvXUv6MhKgpq/view,['Elementary']
Oak View Elem School,470453000215,Franklin,2390 Henpeck Ln,37064,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,533.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Edmondson Elementary,470453000443,Brentwood,851 Edmondson Pike,37027,Williamson County,"['1', '2', '3', '4', '5', 'KG']",Public,703.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Hunters Bend Elementary,470453000456,Franklin,2121 Fieldstone Pkwy,37069,Williamson County,"['1', '2', '3', '4', '5', 'KG']",Public,399.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Centennial High School,470453000511,Franklin,5050 Mallory Ln,37067,Williamson County,"['10', '11', '12', '9']",Public,1474.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['High']
