school_x,nces_id,city,address,zip,district,grades,school_type,student_count,salary_link,school_type2
Compass Community School Hickory Hill Campus,470014802594,Memphis,3572 Emerald,38115,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG']",Public Charter,255.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle']"
Raleigh Egypt Middle School,470014802601,Memphis,4215 Alice Ann Dr,38128,Memphis-Shelby County Schools,"['6', '7', '8']",Public,490.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Middle']
Compass Community School Frayser Campus,470014802605,Memphis,3690 Thomas St,38127,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG']",Public Charter,210.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle']"
Hamilton School,470014802609,Memphis,1478 Wilson St,38106,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,652.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle']"
Compass Community School Midtown Campus,470014802611,Memphis,61 N. McLean Blvd,38104,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public Charter,331.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Alcy Elementary,470014802630,Memphis,1750 E Alcy Rd,38114,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,661.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Parkway Village Elementary,470014802631,MEMPHIS,3000 CLAUDETTE Rd,38118,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,828.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Aurora Collegiate Academy,470014802632,MEMPHIS,4841 SUMMER Ave,38122,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG']",Public Charter,324.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Leadership Preparatory Charter School,470014802633,MEMPHIS,4190 ELLISTON Rd,38111,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG']",Public Charter,419.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle']"
Memphis School of Excellence Elementary Cordova,470014802634,CORDOVA,8350 Macon Rd,38018,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG']",Public Charter,309.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Beacon College Preparatory,470014802635,Memphis,5130 Raleigh Lagrange Rd,38134,Memphis-Shelby County Schools,"['1', '2', '3', '4', 'KG']",Public Charter,206.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Freedom Prep Elementary - Parkrose,470014802636,Memphis,778 Parkrose Rd,38109,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public Charter,578.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Medical District High School,470014802672,Memphis,737 Union Ave,38103,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,99.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Memphis School of Excellence Cordova,470014802673,Cordova,8360 Macon Rd,38018,Memphis-Shelby County Schools,"['10', '11', '12', '6', '7', '8', '9']",Public Charter,295.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Middle', 'High']"
Frayser-Corning Elementary,470014810435,Memphis,1602 Dellwood Ave,38127,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,369.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Georgian Hills Elementary,470014810436,Memphis,3930 Leweir St,38127,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,262.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Memphis Virtual Adult High School,470014810437,Memphis,3237 Knight Rd,38118,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,26.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Whitney Elementary,470014810438,Memphis,1219 Whitney Ave,38127,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,262.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
University High School,470014810439,Memphis,330 Innovation Dr,38152,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,96.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Carver College and Career Academy,470014810440,Memphis,1591 Pennsylvania Ave,38109,Memphis-Shelby County Schools,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG']",Public,613.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle', 'High']"
Hanley K-8,470014810491,Memphis,802 Rozelle ST,38104,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle']"
Crosswind Elementary School,470014900147,Collierville,831 West Shelton Rd,38017,Collierville,"['1', '2', '3', '4', '5', 'KG']",Public,701.0,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,['Elementary']
Tara Oaks Elementary School,470014900420,Collierville,600 Harpers Ferry Rd,38017,Collierville,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,655.0,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,['Elementary']
West Collierville Middle School,470014901134,Collierville,935 S Colbert St,38017,Collierville,"['6', '7', '8']",Public,1309.0,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,['Middle']
Sycamore Elementary School,470014901359,Collierville,1155 Sycamore Rd,38017,Collierville,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,592.0,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,['Elementary']
Collierville Elementary School,470014901573,Collierville,590 Peterson Lake Rd,38017,Collierville,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,813.0,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,['Elementary']
Collierville High School,470014901574,Collierville,11605 E. Shelby Dr,38017,Collierville,"['10', '11', '12', '9']",Public,2836.0,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,['High']
Collierville Middle School,470014901575,Collierville,580 Quinn Rd,38017,Collierville,"['6', '7', '8']",Public,773.0,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,['Middle']
Bailey Station Elementary School,470014902076,Collierville,3435 Bailey Station Rd,38017,Collierville,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,851.0,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,['Elementary']
Schilling Farms Elementary School,470014902515,Collierville,935 S. Colbert St,38017,Collierville,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,597.0,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,['Elementary']
Collierville Virtual Academy,470014902674,Collierville,145 W. Poplar Ave,38017,Collierville,"['10', '11', '12', '3', '4', '5', '6', '7', '8', '9']",Public,132.0,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,"['Elementary', 'Middle', 'High']"
Millington Central Middle High School,470015001587,Millington,8050 West St,38053,Millington Municipal Schools,"['10', '11', '12', '7', '8', '9']",Public,1191.0,https://drive.google.com/file/d/1EBEE_Rf0mAD5I4oKUmvli7lw2-SOhdKM/view,"['Middle', 'High']"
Millington Primary School,470015002078,Millington,6445 William Osteen Dr,38053,Millington Municipal Schools,"['1', '2', '3', 'KG', 'PK']",Public,858.0,https://drive.google.com/file/d/1EBEE_Rf0mAD5I4oKUmvli7lw2-SOhdKM/view,['Elementary']
Millington Intermediate School,470015002676,Millington,4964 Cuba-Millington Rd,38053,Millington Municipal Schools,"['4', '5', '6']",Public,553.0,https://drive.google.com/file/d/1EBEE_Rf0mAD5I4oKUmvli7lw2-SOhdKM/view,['Elementary']
Dogwood Elementary School,470015101576,Germantown,,,,,,,,
Farmington Elementary School,470015101580,Germantown,2085 Cordes Rd,38138,Germantown,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,628.0,https://drive.google.com/file/d/1VGAmY9_ApqcBH89FqSksY-BaNsCS5vkD/view,['Elementary']
Riverdale Elementary School,470015101591,Germantown,,,,,,,,
Houston High School,470015102001,Germantown,9755 Wolf River Blvd,38139,Germantown,"['10', '11', '12', '9']",Public,1938.0,https://drive.google.com/file/d/1VGAmY9_ApqcBH89FqSksY-BaNsCS5vkD/view,['High']
Houston Middle School,470015102018,Germantown,9400 Wolf River Blvd,38139,Germantown,"['6', '7', '8']",Public,897.0,https://drive.google.com/file/d/1VGAmY9_ApqcBH89FqSksY-BaNsCS5vkD/view,['Middle']
Forest Hill Elementary School,470015102602,Germantown,,,,,,,,
Germantown Online Academy of Learning,470015102675,Germantown,,,,,,,,
Arlington Middle,470015201358,Arlington,5470 Lamb Rd,38002,Arlington,"['6', '7', '8']",Public,992.0,https://drive.google.com/file/d/1QsRkdjW9kbd36JpUAw5eEhHh_i17FGlP/view,['Middle']
Arlington Elementary,470015201567,Arlington,,,,,,,,
Arlington High,470015202075,Arlington,,,,,,,,
Donelson Elementary,470015202197,Arlington,,,,,,,,
Appling Middle School,470015300415,Bartlett,3700 Appling Rd,38133,Bartlett,"['6', '7', '8']",Public,584.0,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,['Middle']
Rivercrest Elementary,470015300972,Bartlett,4825 Rivercrest,38135,Bartlett,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,652.0,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,['Elementary']
Altruria Elementary,470015301566,Bartlett,6641 Deermont Dr,38134,Bartlett,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,771.0,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,['Elementary']
Bartlett Elementary School,470015301569,Bartlett,3932 Billy Maher Rd,38135,Bartlett,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,647.0,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,['Elementary']
Bartlett High School,470015301570,Bartlett,5688 Woodlawn Ave,38134,Bartlett,"['10', '11', '12', '9']",Public,2851.0,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,['High']
Ellendale Elementary,470015301578,Bartlett,6950 Dawn Hill,38135,Bartlett,"['1', '2', '3', '4', '5', 'KG']",Public,505.0,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,['Elementary']
Elmore Park Middle School,470015301579,Bartlett,6330 Althorne Rd,38134,Bartlett,"['6', '7', '8']",Public,730.0,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,['Middle']
Oak Elementary,470015301979,Bartlett,3573 Oak Rd,38134,Bartlett,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,725.0,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,['Elementary']
Bon Lin Elementary School,470015302077,Bartlett,3940 Germantown Rd,38134,Bartlett,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,752.0,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,['Elementary']
Bon Lin Middle School,470015302161,Bartlett,3862 Germantown Rd,38133,Bartlett,"['6', '7', '8']",Public,729.0,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,['Middle']
Lakeland Elementary School,470015401547,Lakeland,10050 Oak Seed Ln,38002,Lakeland,"['1', '2', '3', '4', 'KG', 'PK']",Public,1038.0,https://drive.google.com/file/d/1zCHLTSj_lUDSApYjmSzbM1XacGXbyjwM/view,['Elementary']
Lakeland Preparatory School,470015402476,Lakeland,5020 Lions Crest Dr,38002,Lakeland,"['10', '5', '6', '7', '8', '9']",Public,1094.0,https://drive.google.com/file/d/1zCHLTSj_lUDSApYjmSzbM1XacGXbyjwM/view,"['Middle', 'High']"
Barbara Ward Cooper Education Center,470015602640,Somerville,,,,,,,,
Cornerstone Prep Denver Campus,470015701046,Memphis,,,,,,,,
Lester Prep,470015702370,Memphis,,,,,,,,
Promise Academy Spring Hill,470015702398,Memphis,,,,,,,,
Libertas,470015702437,Memphis,,,,,,,,
LEAD Neely's Bend,470015702456,Nashville,,,,,,,,
Bluff City High School,470015702688,Memphis,,,,,,,,
KIPP Antioch College Prep Elementary,470015702689,Antioch,,,,,,,,
KIPP Antioch College Prep Middle,470015702690,Antioch,,,,,,,,
Nashville Collegiate Prep,470015702691,Nashville,,,,,,,,
Cornerstone Prep School,470015710445,Memphis,,,,,,,,
Rocketship Dream Community Prep,470015710446,Antioch,,,,,,,,
KIPP Antioch Global High School,470015710495,Antioch,,,,,,,,
Tennessee Nature Academy,470015710496,Nashville,7533 Lords Chapel DR,37211,Tennessee Public Charter School Commission,"['5', '6']",Public Charter,,,[]
Cascade High School,470018000034,Wartrace,1165 Bell Bckle/Wartrace,37183,Bedford County,"['10', '11', '12', '9']",Public,545.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['High']
Eakin Elementary,470018000035,Shelbyville,1100 Glenoaks Rd,37160,Bedford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,692.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['Elementary']
Shelbyville Central High School,470018000036,Shelbyville,401 Eagle Blvd,37160,Bedford County,"['10', '11', '12', '9']",Public,1553.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['High']
Harris Middle School,470018000037,Shelbyville,570 Eagle Blvd,37160,Bedford County,"['6', '7', '8']",Public,963.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['Middle']
Community High School,470018000039,Unionville,100 Community Crossing,37180,Bedford County,"['10', '11', '12', '9']",Public,566.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['High']
East Side Elementary,470018000040,Shelbyville,421 Elliott St,37160,Bedford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,424.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['Elementary']
Thomas Magnet School,470018000041,Shelbyville,515 Tate Avenue,37160,Bedford County,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,449.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,"['Elementary', 'Middle']"
Liberty Elementary,470018000042,Shelbyville,500 Snell Rd,37160,Bedford County,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,630.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,"['Elementary', 'Middle']"
South Side Elementary,470018000044,Shelbyville,903 Cannon Blvd,37160,Bedford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,387.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['Elementary']
Cascade Elementary,470018000578,Wartrace,2998 Fairfield Pike,37183,Bedford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,675.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['Elementary']
Community Elementary School,470018000582,Unionville,3480 Highway 41a,37180,Bedford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,663.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['Elementary']
Community Middle School,470018002218,Unionville,3470 Hwy 41A Rd,37180,Bedford County,"['6', '7', '8']",Public,370.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['Middle']
Learning Way Elementary,470018002222,Shelbyville,200 Learning Way Dr,37160,Bedford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,675.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['Elementary']
Cascade Middle School,470018002276,Wartrace,1165 Bell Buckle Wartrace Rd,37183,Bedford County,"['6', '7', '8']",Public,378.0,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,['Middle']
Bells Elementary,470021000045,Bells,,,,,,,,
Big Sandy School,470024000049,Big Sandy,,,,,,,,
Briarwood School,470024000050,Camden,,,,,,,,
Camden Elementary,470024000051,Camden,,,,,,,,
Camden Central High School,470024000052,Camden,,,,,,,,
Holladay Elementary,470024000053,Holladay,,,,,,,,
Benton County Academy,470024000250,Camden,,,,,,,,
Camden Jr High School,470024001033,Camden,,,,,,,,
Benton Career and Technical Center,470024001828,Camden,,,,,,,,
Bledsoe County High School,470027000055,Pikeville,877 Main St,37367,Bledsoe County,"['10', '11', '12', '9']",Public,483.0,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,['High']
Cecil B Rigsby Elementary,470027000057,Pikeville,8231 New Harmony Rd,37367,Bledsoe County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,173.0,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,['Elementary']
Mary V Wheeler Elementary,470027000059,Pikeville,33073 SR 30,37367,Bledsoe County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,205.0,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,['Elementary']
Pikeville Elementary,470027000060,Pikeville,41068 S R 30,37367,Bledsoe County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,415.0,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,['Elementary']
Bledsoe County Middle School,470027001035,Pikeville,857 Main St,37367,Bledsoe County,"['6', '7', '8']",Public,378.0,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,['Middle']
Fairview Elementary,470030000068,Maryville,2130 Old Niles Ferry,37803,Blount County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,303.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Friendsville Elementary,470030000070,Friendsville,210 E 4th Ave,37777,Blount County,"['1', '2', '3', '4', '5', 'KG']",Public,214.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Heritage High School,470030000072,Maryville,,,,,,,,
Lanier Elementary,470030000074,Maryville,6006 Lanier Rd,37742,Blount County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,337.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Porter Elementary,470030000078,Maryville,4520 Wildwood Springs Rd,37804,Blount County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,232.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Rockford Elementary,470030000081,Rockford,3728 Williams Mill Rd,37853,Blount County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,403.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Townsend Elementary,470030000084,Townsend,140 Tiger Dr,37882,Blount County,"['1', '2', '3', '4', '5', 'KG']",Public,108.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Walland Elementary School,470030000086,Walland,247 E Millers Cove Rd,37886,Blount County,"['1', '2', '3', '4', '5', 'KG']",Public,294.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Heritage Middle School,470030001041,Maryville,3737 E Lamar Alex Pkwy,37804,Blount County,"['6', '7', '8']",Public,665.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Middle']
Carpenters Middle School,470030001387,Maryville,920 Huffstetler Rd,37803,Blount County,"['6', '7', '8']",Public,529.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Middle']
Union Grove Middle School,470030001652,Friendsville,334 South Old Grey Ridge Rd,37737,Blount County,"['6', '7', '8']",Public,611.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Middle']
Eagleton Elementary,470030001669,Maryville,708 Sam Houston School Rd,37804,Blount County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,482.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
William Blount High School,470030001830,Maryville,,,,,,,,
Middlesettlements,470030001873,Louisville,3105 Miser Station Rd,37777,Blount County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,329.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Montvale Elementary,470030001916,Maryville,3128 Montvale Rd,37803,Blount County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,291.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Mary Blount Elementary,470030001991,Maryville,131 South Old Glory Rd,37801,Blount County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,594.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Carpenters Elementary School,470030002099,Maryville,915 Huffstetler Rd,37803,Blount County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,540.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Union Grove Elementary School,470030002164,Friendsville,330 South Old Grey Ridge Rd,37737,Blount County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,249.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Prospect Elementary School,470030002266,Seymour,1535 Burnett Station Rd,37865,Blount County,"['1', '2', '3', '4', '5', 'KG']",Public,341.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,['Elementary']
Samuel Everett School of Innovation,470030002557,Maryville,1500 Jett Rd,37802,Blount County,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG', 'PK']",Public,369.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,"['Elementary', 'Middle', 'High']"
Eagleton 1 Head Start,470030002560,Maryville,,,,,,,,
Eagleton College and Career Academy,470030002643,Maryville,2610 Cinema Dr,37804,Blount County,"['10', '11', '6', '7', '8', '9']",Public,600.0,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,"['Middle', 'High']"
Black Fox Elementary School,470033000087,Cleveland,3119 Varnell Rd,37311,Bradley County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,510.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Elementary']
Ocoee Middle School,470033000089,Cleveland,2250 N Ocoee St,37311,Bradley County,"['6', '7', '8']",Public,997.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Middle']
Bradley Central High School,470033000090,Cleveland,1000 South Lee Highway,37311,Bradley County,"['10', '11', '12', '9']",Public,1677.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['High']
Charleston Elementary School,470033000092,Charleston,8797 Hiwassee St,37310,Bradley County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,341.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Elementary']
Hopewell Elementary School,470033000094,Cleveland,5350 Freewill Road NW,37312,Bradley County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,457.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Elementary']
Michigan Avenue Elementary School,470033000096,Cleveland,188 Michigan Ave School Rd,37323,Bradley County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,466.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Elementary']
North Lee Elementary School,470033000098,Cleveland,205 Sequoia Dr,37312,Bradley County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,513.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Elementary']
Oak Grove Elementary School,470033000099,Cleveland,400 Durkee Road SE,37323,Bradley County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,406.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Elementary']
Prospect Elementary School,470033000100,Cleveland,2450 Prospect School Rd,37311,Bradley County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,396.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Elementary']
Taylor Elementary School,470033000101,Cleveland,5265 Bates Pike,37323,Bradley County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,263.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Elementary']
Lake Forest Middle School,470033000104,Cleveland,610 Kile Lake Rd,37323,Bradley County,"['6', '7', '8']",Public,1127.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Middle']
Valley View Elementary School,470033000105,Cleveland,5607 Spring Place Rd,37323,Bradley County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,307.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Elementary']
Waterville Community Elementary School,470033000106,Cleveland,4081 Dalton Pike,37323,Bradley County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,660.0,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,['Elementary']
